# EPIC-KITCHENS object mask coverage
# 1059 categories · splits: train, val
# coverage = nonzero pixels / total pixels
#
#  median     mean      p10      p90      n  name
   0.0180   0.0190   0.0177   0.0207      3  sausage
   0.0179   0.0229   0.0098   0.0379     47  washing up liquid
   0.0178   0.0233   0.0111   0.0430      7  tofu container
   0.0177   0.0207   0.0091   0.0332     30  sugar bag
   0.0177   0.0164   0.0083   0.0218      8  carafe
   0.0177   0.0179   0.0087   0.0253     29  meat mix
   0.0177   0.0226   0.0094   0.0406      6  chilli package
   0.0177   0.0193   0.0117   0.0281      4  extractor fan
   0.0176   0.0141   0.0057   0.0221      7  pepper bottle
   0.0175   0.0224   0.0072   0.0326     24  sugar jar
   0.0174   0.0174   0.0174   0.0174      1  hand blender motor
   0.0174   0.0180   0.0117   0.0254     51  chicken meat
   0.0174   0.0218   0.0077   0.0354     12  blueberries bag
   0.0173   0.0169   0.0114   0.0220      4  chorizo packet
   0.0173   0.0190   0.0108   0.0283     13  foil box
   0.0172   0.0187   0.0085   0.0303     20  sandwich
   0.0172   0.0161   0.0058   0.0256     20  garlic paste
   0.0172   0.0294   0.0050   0.0631     15  coffee
   0.0172   0.0186   0.0119   0.0263      4  ginger bag
   0.0171   0.0213   0.0064   0.0407     19  salami packaging
   0.0170   0.0157   0.0093   0.0217      5  empty tin
   0.0170   0.0193   0.0040   0.0339      9  serviette/table napkin
   0.0167   0.0167   0.0136   0.0199      2  coriander packet
   0.0167   0.0226   0.0109   0.0362      8  v60
   0.0167   0.0196   0.0087   0.0379     17  washing up liquid/dish soap
   0.0165   0.0168   0.0102   0.0258     35  broccoli floret
   0.0165   0.0179   0.0062   0.0284      9  food
   0.0165   0.0165   0.0165   0.0165      1  pa
   0.0165   0.0222   0.0061   0.0399     12  pepper jar
   0.0163   0.0192   0.0098   0.0297      3  pizza slice
   0.0163   0.0163   0.0036   0.0239     23  coffee jar
   0.0162   0.0155   0.0132   0.0172      4  pepper lid
   0.0162   0.0166   0.0153   0.0180      3  mushroom packaging
   0.0161   0.0179   0.0019   0.0353     12  herb jar
   0.0161   0.0161   0.0161   0.0161      1  left foot
   0.0161   0.0161   0.0161   0.0161      1  pie dish base
   0.0161   0.0169   0.0100   0.0249     85  carrot bit/piece
   0.0161   0.0161   0.0154   0.0167      2  spray
   0.0160   0.0215   0.0074   0.0351     38  salt container
   0.0160   0.0198   0.0104   0.0332     80  rolling pin
   0.0159   0.0159   0.0151   0.0166      2  green bag
   0.0158   0.0186   0.0053   0.0337     35  olive oil
   0.0158   0.0184   0.0054   0.0341      6  squash bottle
   0.0157   0.0202   0.0124   0.0298      3  tomato sauce
   0.0157   0.0158   0.0114   0.0207     26  steamed bun
   0.0157   0.0192   0.0041   0.0414     12  socket
   0.0156   0.0262   0.0053   0.0664     26  tub
   0.0156   0.0160   0.0129   0.0193     31  lemon half
   0.0155   0.0163   0.0066   0.0228     11  pepper piece
   0.0155   0.0149   0.0091   0.0212      9  dish soap bottle
   0.0154   0.0152   0.0090   0.0213      6  parmesan
   0.0154   0.0152   0.0046   0.0250     25  garlic press
   0.0153   0.0159   0.0055   0.0262     25  chicken bone
   0.0153   0.0149   0.0111   0.0185      3  potato peel
   0.0152   0.0154   0.0065   0.0231     12  cleanser
   0.0152   0.0208   0.0031   0.0391     11  paper towel
   0.0151   0.0184   0.0035   0.0376     14  thyme jar
   0.0151   0.0151   0.0151   0.0151      1  salmon package
   0.0151   0.0169   0.0074   0.0270      5  drink
   0.0151   0.0120   0.0060   0.0168      3  fruit
   0.0150   0.0171   0.0053   0.0302     49  parsley
   0.0149   0.0149   0.0149   0.0149      1  oil bottle cap
   0.0147   0.0187   0.0052   0.0358    111  bread
   0.0146   0.0182   0.0102   0.0290      5  mixer base
   0.0146   0.0186   0.0056   0.0342     38  mozzarella bag
   0.0146   0.0144   0.0054   0.0242     17  corn piece
   0.0145   0.0202   0.0084   0.0371      5  crisp/chips
   0.0145   0.0180   0.0064   0.0374     13  yeast box
   0.0145   0.0172   0.0118   0.0244      8  sugar container
   0.0144   0.0190   0.0067   0.0387     30  butter package
   0.0144   0.0123   0.0036   0.0190      6  cleaner
   0.0143   0.0188   0.0073   0.0370     82  jug
   0.0143   0.0206   0.0069   0.0454     12  softener comfort package
   0.0143   0.0173   0.0074   0.0286      3  pancake package
   0.0142   0.0206   0.0047   0.0467    247  bottle
   0.0142   0.0200   0.0074   0.0377      8  gin bottle
   0.0142   0.0119   0.0052   0.0178      5  chicken piece
   0.0141   0.0172   0.0036   0.0375     22  rolled omelette slice
   0.0140   0.0145   0.0056   0.0220     60  aeropress
   0.0140   0.0196   0.0058   0.0459     71  tuna patty
   0.0140   0.0140   0.0131   0.0149      2  courgette piece
   0.0140   0.0195   0.0038   0.0418     57  mushroom
   0.0140   0.0135   0.0064   0.0201      6  olive bottle
   0.0140   0.0202   0.0078   0.0410     11  spicy bean sauce
   0.0139   0.0158   0.0121   0.0212      6  foam
   0.0138   0.0173   0.0052   0.0375     41  banana
   0.0138   0.0138   0.0138   0.0138      1  sock
   0.0137   0.0184   0.0047   0.0417     26  cheese bag
   0.0136   0.0149   0.0071   0.0232      8  onion package
   0.0136   0.0119   0.0076   0.0149      4  honey bottle
   0.0135   0.0249   0.0036   0.0478     22  cereal
   0.0135   0.0158   0.0094   0.0282     11  avocado
   0.0135   0.0142   0.0101   0.0196      8  tomato tin
   0.0135   0.0210   0.0059   0.0392     48  milk
   0.0134   0.0167   0.0052   0.0353     53  olive oil bottle
   0.0134   0.0158   0.0082   0.0243      3  sweetcorn bag
   0.0134   0.0134   0.0044   0.0223      2  aubergine end
   0.0134   0.0165   0.0017   0.0232     12  rice
   0.0133   0.0174   0.0070   0.0312     46  measuring jug
   0.0133   0.0150   0.0080   0.0240      8  banana skin
   0.0133   0.0135   0.0109   0.0163      3  tea
   0.0133   0.0131   0.0064   0.0196      3  ladle rest
   0.0132   0.0142   0.0084   0.0202     11  cooking wine bottle
   0.0132   0.0132   0.0132   0.0132      2  cutlery bowl
   0.0132   0.0150   0.0051   0.0237     31  mocha pot
   0.0132   0.0132   0.0073   0.0190      2  hand blender piece
   0.0132   0.0121   0.0067   0.0166      7  soy milk bottle
   0.0131   0.0202   0.0051   0.0448     77  salt bottle
   0.0131   0.0129   0.0116   0.0139      6  garlic bottle
   0.0131   0.0129   0.0088   0.0168      4  spoon rest
   0.0130   0.0130   0.0125   0.0136      2  chopped cucumber
   0.0130   0.0165   0.0063   0.0281      3  cocoa powder tin
   0.0130   0.0129   0.0042   0.0182    130  lemon
   0.0130   0.0130   0.0130   0.0130      1  clip top jar
   0.0129   0.0129   0.0117   0.0142      2  carrot bit
   0.0129   0.0155   0.0058   0.0244     39  passata bottle/tomato puree bottle
   0.0129   0.0146   0.0054   0.0253    238  mozzarella
   0.0129   0.0110   0.0080   0.0133      3  granule
   0.0128   0.0117   0.0053   0.0152     11  rice vinegar bottle
   0.0128   0.0170   0.0048   0.0300     57  mozzarella package
   0.0128   0.0234   0.0024   0.0522     62  peel
   0.0127   0.0127   0.0119   0.0136      2  water filter lid
   0.0127   0.0157   0.0054   0.0283   1034  tap
   0.0127   0.0127   0.0127   0.0127      1  onion peels
   0.0126   0.0117   0.0077   0.0147     17  ice cube
   0.0126   0.0124   0.0099   0.0149      6  pod container
   0.0126   0.0126   0.0100   0.0151      2  squash
   0.0126   0.0125   0.0047   0.0200     15  potato slice
   0.0125   0.0125   0.0116   0.0134      2  spice cap
   0.0125   0.0137   0.0027   0.0228     15  yogurt
   0.0125   0.0109   0.0051   0.0159      5  ground coffee container
   0.0125   0.0127   0.0049   0.0214     37  mozzarella ball
   0.0125   0.0128   0.0084   0.0174      3  peels
   0.0125   0.0125   0.0125   0.0125      1  kettle lid
   0.0125   0.0147   0.0039   0.0286    102  courgette
   0.0124   0.0159   0.0023   0.0338    179  cucumber
   0.0124   0.0125   0.0116   0.0134      4  egg omelette
   0.0123   0.0143   0.0050   0.0268      9  scotch egg box
   0.0123   0.0131   0.0054   0.0208      8  oregano
   0.0123   0.0137   0.0078   0.0283     11  black bean sauce
   0.0122   0.0114   0.0085   0.0137      4  timer
   0.0122   0.0107   0.0044   0.0142     11  tonic water bottle
   0.0122   0.0124   0.0084   0.0169      9  paprika tin
   0.0122   0.0143   0.0056   0.0228     11  paneer
   0.0122   0.0122   0.0083   0.0160      2  hamburger
   0.0122   0.0144   0.0113   0.0183      3  tomato box
   0.0121   0.0128   0.0052   0.0214     48  brush
   0.0121   0.0279   0.0079   0.0774     14  pan lid
   0.0120   0.0120   0.0068   0.0172      2  tag
   0.0120   0.0120   0.0109   0.0131      2  broccoli rest
   0.0120   0.0108   0.0027   0.0163     18  pitta bread
   0.0120   0.0105   0.0034   0.0163      4  nut paste jar
   0.0119   0.0199   0.0057   0.0455     19  tomato sauce can
   0.0119   0.0146   0.0058   0.0267     43  tongs
   0.0119   0.0119   0.0117   0.0121      2  cookie
   0.0118   0.0147   0.0048   0.0243     23  cheese package
   0.0118   0.0124   0.0098   0.0154      5  filters package
   0.0118   0.0142   0.0016   0.0289     36  bread slice
   0.0118   0.0137   0.0090   0.0203     22  yogurt container
   0.0117   0.0117   0.0117   0.0117      1  clear container
   0.0116   0.0141   0.0046   0.0298     31  chorizo
   0.0116   0.0154   0.0013   0.0295    184  salt
   0.0116   0.0157   0.0033   0.0381    324  carrot
   0.0115   0.0172   0.0063   0.0336      6  dish washing liquid
   0.0115   0.0126   0.0073   0.0184      3  tamagoyaki
   0.0115   0.0201   0.0046   0.0587     17  tomato bottle
   0.0114   0.0532   0.0028   0.1406     55  cutlery
   0.0114   0.0138   0.0058   0.0200     13  milk container
   0.0114   0.0135   0.0106   0.0172      3  cucumber plastic bag
   0.0114   0.0114   0.0075   0.0153      2  tissue paper
   0.0113   0.0094   0.0017   0.0162     10  tuna burger
   0.0113   0.0146   0.0021   0.0345     24  sink strainer
   0.0113   0.0163   0.0032   0.0403    159  can
   0.0113   0.0118   0.0083   0.0157      4  candle
   0.0113   0.0100   0.0070   0.0119      4  basil plant
   0.0111   0.0102   0.0059   0.0138      5  hummus tub
   0.0111   0.0114   0.0054   0.0176     15  jar lid
   0.0111   0.0145   0.0009   0.0221     22  garbage
   0.0110   0.0147   0.0063   0.0267     13  tomato package
   0.0110   0.0117   0.0063   0.0155      9  rolled omelette
   0.0108   0.0202   0.0040   0.0513     21  container lid
   0.0108   0.0102   0.0061   0.0141      8  baking powder bottle
   0.0108   0.0100   0.0016   0.0186      5  fish skin
   0.0108   0.0293   0.0007   0.0776     26  waste
   0.0108   0.0176   0.0081   0.0339      6  yeast packet
   0.0107   0.0101   0.0028   0.0160     44  pesto sauce jar
   0.0106   0.0143   0.0046   0.0224     17  coriander
   0.0106   0.0092   0.0046   0.0132      3  carton
   0.0106   0.0169   0.0063   0.0353      9  omelette
   0.0106   0.0129   0.0044   0.0255    110  ladle
   0.0105   0.0127   0.0057   0.0192      9  rice vinegar
   0.0105   0.0137   0.0056   0.0218     16  yoghurt tub
   0.0105   0.0153   0.0056   0.0287     15  potato skin
   0.0104   0.0104   0.0099   0.0110      2  tuna burger underside
   0.0104   0.0132   0.0069   0.0244    140  grater
   0.0104   0.0127   0.0026   0.0274     23  mincing knife
   0.0104   0.0095   0.0025   0.0154     73  corn
   0.0103   0.0131   0.0042   0.0246    340  mug
   0.0103   0.0214   0.0034   0.0565     20  salt package
   0.0103   0.0093   0.0023   0.0148    158  cucumber piece
   0.0103   0.0109   0.0070   0.0157     16  tomato sauce bottle
   0.0102   0.0283   0.0053   0.0660      5  sauce
   0.0102   0.0130   0.0029   0.0287    140  cheese
   0.0102   0.0123   0.0033   0.0260      8  blueberry
   0.0102   0.0147   0.0059   0.0281     18  almond drink package
   0.0102   0.0093   0.0021   0.0166     12  cucumber packaging
   0.0101   0.0129   0.0082   0.0191      7  spade
   0.0101   0.0100   0.0043   0.0177     15  dish rag
   0.0101   0.0160   0.0051   0.0291      3  plastic cover
   0.0101   0.0149   0.0086   0.0230      3  rice bag top
   0.0101   0.0103   0.0040   0.0154      8  chopped onion
   0.0101   0.0133   0.0057   0.0223      5  cucumber slices
   0.0100   0.0159   0.0031   0.0387      9  degreaser
   0.0100   0.0100   0.0086   0.0113      3  pepper cellar
   0.0099   0.0125   0.0028   0.0242      4  herb bottle
   0.0098   0.0106   0.0036   0.0185      8  dishtowel
   0.0098   0.0166   0.0040   0.0408     15  celery
   0.0098   0.0098   0.0098   0.0098      1  sun dried tomato package
   0.0097   0.0161   0.0040   0.0339      9  passata bottle
   0.0096   0.0095   0.0072   0.0117      4  mayonnaise
   0.0096   0.0097   0.0033   0.0147     17  cream cheese container
   0.0096   0.0118   0.0046   0.0190     11  fruit box
   0.0096   0.0116   0.0024   0.0269     23  mushroom tin
   0.0096   0.0096   0.0096   0.0096      1  tonic water
   0.0094   0.0078   0.0025   0.0114      9  chilli jar
   0.0094   0.0123   0.0032   0.0230    303  cup
   0.0094   0.0084   0.0047   0.0113      5  mocha
   0.0094   0.0101   0.0093   0.0113      3  sliced onion
   0.0093   0.0093   0.0093   0.0093      1  cucumber salad
   0.0093   0.0094   0.0036   0.0150      8  spicy bean sauce jar
   0.0093   0.0104   0.0064   0.0154      7  fish sauce bottle
   0.0093   0.0120   0.0039   0.0222      5  coffee tin lid
   0.0093   0.0128   0.0025   0.0265     84  egg
   0.0092   0.0092   0.0092   0.0092      1  teapot strainer
   0.0092   0.0136   0.0030   0.0285    569  glass
   0.0092   0.0085   0.0055   0.0110     25  stock container
   0.0092   0.0176   0.0065   0.0389      7  mushroom bowl
   0.0091   0.0091   0.0040   0.0143      2  grinder
   0.0091   0.0113   0.0038   0.0211      7  pesto jar
   0.0091   0.0179   0.0035   0.0523     18  yoghurt lid
   0.0090   0.0111   0.0041   0.0225     37  tin
   0.0090   0.0090   0.0086   0.0094      2  cucumber film
   0.0090   0.0113   0.0048   0.0158     10  chopped tomato tin
   0.0089   0.0105   0.0050   0.0166      5  toast bread
   0.0089   0.0118   0.0047   0.0213     82  sieve spatula
   0.0089   0.0158   0.0021   0.0362    188  jar
   0.0088   0.0094   0.0059   0.0136      8  phone
   0.0087   0.0095   0.0045   0.0145     73  plastic spatula
   0.0087   0.0123   0.0011   0.0234     25  biscuit
   0.0087   0.0085   0.0059   0.0124     20  oil container
   0.0086   0.0084   0.0064   0.0096     10  rack
   0.0086   0.0082   0.0055   0.0105      4  mozzarella slice
   0.0086   0.0089   0.0055   0.0126      5  onion net
   0.0085   0.0091   0.0038   0.0164     90  squeezer
   0.0085   0.0103   0.0024   0.0242     47  can opener
   0.0085   0.0158   0.0049   0.0399     23  carrot piece
   0.0084   0.0136   0.0033   0.0332    156  potato
   0.0084   0.0102   0.0018   0.0200      4  nut pasta jar
   0.0083   0.0076   0.0032   0.0114      6  fish sauce
   0.0083   0.0095   0.0066   0.0134      5  turmeric jar
   0.0082   0.0080   0.0060   0.0097     24  pitta piece
   0.0082   0.0134   0.0038   0.0253      8  corkscrew
   0.0081   0.0104   0.0014   0.0225     10  stock
   0.0081   0.0081   0.0081   0.0081      1  spring onion piece
   0.0081   0.0107   0.0033   0.0190      3  powder
   0.0081   0.0073   0.0041   0.0100      5  yoghurt pot
   0.0081   0.0110   0.0035   0.0214    237  pepper
   0.0081   0.0081   0.0075   0.0087      2  Scissors
   0.0081   0.0142   0.0050   0.0301     20  soy sauce
   0.0080   0.0149   0.0046   0.0311      5  cream packaging
   0.0080   0.0101   0.0048   0.0169     13  soy sauce bottle
   0.0080   0.0082   0.0071   0.0094      5  sharpener
   0.0080   0.0080   0.0061   0.0099      2  chilli oil
   0.0080   0.0080   0.0080   0.0080      1  dust
   0.0080   0.0082   0.0032   0.0127     15  gochujang package
   0.0080   0.0085   0.0011   0.0164      6  soap dispenser
   0.0080   0.0080   0.0071   0.0089      2  onion bit
   0.0079   0.0117   0.0028   0.0259    598  onion
   0.0079   0.0079   0.0036   0.0122      2  plastic cup
   0.0079   0.0079   0.0074   0.0083      2  packaging bit
   0.0079   0.0089   0.0029   0.0164     10  pancake
   0.0079   0.0100   0.0037   0.0182      5  stock wrap
   0.0078   0.0099   0.0028   0.0189     29  spring onion
   0.0077   0.0078   0.0033   0.0123      7  mixer
   0.0077   0.0066   0.0023   0.0099      9  pizza cutter
   0.0077   0.0077   0.0063   0.0091      2  patty
   0.0077   0.0117   0.0022   0.0234      5  cocoa powder
   0.0077   0.0141   0.0021   0.0345     27  spice jar
   0.0077   0.0117   0.0028   0.0228     51  butter
   0.0077   0.0078   0.0050   0.0114      9  slicer guard
   0.0077   0.0097   0.0055   0.0155      4  lime squeezer
   0.0076   0.0092   0.0045   0.0148      8  cream cheese package
   0.0075   0.0075   0.0045   0.0105      2  soup
   0.0075   0.0068   0.0020   0.0112      4  spice plastic bag
   0.0074   0.0109   0.0059   0.0135     13  chopped tomato package
   0.0074   0.0074   0.0074   0.0074      1  electric plug
   0.0073   0.0073   0.0022   0.0116     11  plastic spade
   0.0073   0.0210   0.0047   0.0460      5  coffee container
   0.0073   0.0068   0.0014   0.0119      9  plug
   0.0072   0.0084   0.0035   0.0135     28  pasta fork
   0.0072   0.0072   0.0062   0.0082      2  gin
   0.0072   0.0063   0.0030   0.0080      8  chilli bottle
   0.0072   0.0076   0.0059   0.0097      7  pesto bottle
   0.0071   0.0080   0.0023   0.0149     13  mocha upper part
   0.0070   0.0070   0.0026   0.0113      2  peanut
   0.0069   0.0118   0.0027   0.0275     56  filter
   0.0069   0.0077   0.0036   0.0125    685  wooden spoon
   0.0069   0.0094   0.0039   0.0172     40  coffee holder
   0.0069   0.0095   0.0018   0.0190     25  v60/pourover coffee maker
   0.0069   0.0077   0.0053   0.0124     14  chopping blade
   0.0068   0.0148   0.0059   0.0310      5  pesto
   0.0068   0.0117   0.0010   0.0291     13  jam jar
   0.0068   0.0068   0.0061   0.0076      5  small sandwich
   0.0067   0.0063   0.0052   0.0070      5  black pepper
   0.0067   0.0093   0.0042   0.0119     11  slotted spoon
   0.0067   0.0074   0.0046   0.0108      5  chilli flake bag
   0.0067   0.0108   0.0025   0.0205     72  spice
   0.0067   0.0056   0.0019   0.0085      4  food bit
   0.0066   0.0062   0.0023   0.0093      8  garlic bag
   0.0066   0.0088   0.0020   0.0172     17  cleaning spray
   0.0066   0.0060   0.0029   0.0090      7  bag clip
   0.0066   0.0070   0.0050   0.0096      7  small bread
   0.0065   0.0068   0.0040   0.0099      9  curry powder package
   0.0065   0.0069   0.0019   0.0142     15  turmeric
   0.0065   0.0054   0.0023   0.0080      8  rosemary
   0.0064   0.0068   0.0060   0.0077      3  pan handle
   0.0063   0.0105   0.0025   0.0211     16  yeast can
   0.0063   0.0077   0.0062   0.0098      3  carrot skin
   0.0063   0.0071   0.0042   0.0104      3  ramekin
   0.0063   0.0066   0.0027   0.0112     31  knife sharpener
   0.0063   0.0071   0.0016   0.0122     22  sesame oil bottle
   0.0062   0.0074   0.0021   0.0138   1181  spatula
   0.0061   0.0246   0.0020   0.0599     12  paper roll
   0.0061   0.0107   0.0030   0.0222      4  beer
   0.0061   0.0078   0.0038   0.0132      4  gravy box
   0.0061   0.0061   0.0028   0.0094      2  watch
   0.0061   0.0079   0.0047   0.0128     16  spice bottle
   0.0060   0.0060   0.0060   0.0060      1  salted bean curd  jar
   0.0060   0.0060   0.0060   0.0060      1  washing powder
   0.0060   0.0060   0.0060   0.0060      1  wooden tongs
   0.0059   0.0045   0.0010   0.0074      9  cinnamon bottle
   0.0058   0.0056   0.0038   0.0071      5  honey
   0.0058   0.0133   0.0021   0.0261     22  condensed milk tin
   0.0058   0.0058   0.0058   0.0058      1  washing up brush
   0.0058   0.0082   0.0026   0.0150     19  onion skin
   0.0058   0.0058   0.0053   0.0063      2  rice measurer
   0.0057   0.0116   0.0028   0.0252      4  wrapper
   0.0056   0.0082   0.0047   0.0143      7  scotch egg box lid
   0.0056   0.0155   0.0006   0.0442     27  rubbish/trash
   0.0056   0.0059   0.0030   0.0092    113  tong
   0.0056   0.0057   0.0039   0.0077      5  clip top jar top
   0.0056   0.0067   0.0034   0.0111      4  sweetcorn
   0.0055   0.0106   0.0028   0.0223     11  yeast
   0.0055   0.0076   0.0013   0.0154      4  can cover
   0.0055   0.0063   0.0026   0.0104    214  scissors
   0.0055   0.0062   0.0025   0.0095     72  peach
   0.0054   0.0077   0.0009   0.0187     86  tomato
   0.0054   0.0052   0.0032   0.0072      7  courgette/zucchini
   0.0054   0.0092   0.0029   0.0189      8  kettle wire
   0.0054   0.0054   0.0054   0.0054      1  chopped tomato
   0.0054   0.0058   0.0023   0.0097      4  cake pieces
   0.0053   0.0062   0.0053   0.0074      3  thyme bottle
   0.0053   0.0057   0.0045   0.0071      3  maple syrup bottle
   0.0053   0.0053   0.0053   0.0053      1  cup lid
   0.0053   0.0053   0.0049   0.0056      2  plastic spoon
   0.0053   0.0077   0.0033   0.0113     18  paprika
   0.0052   0.0067   0.0019   0.0117      8  oregano bottle
   0.0052   0.0215   0.0040   0.0554      6  granola
   0.0051   0.0050   0.0034   0.0065      5  pepper stalk
   0.0051   0.0072   0.0012   0.0158    100  cleaver
   0.0051   0.0072   0.0031   0.0135      7  garlic powder bottle
   0.0050   0.0102   0.0029   0.0196      3  honey jar
   0.0050   0.0050   0.0050   0.0050      1  creme fraiche bottle
   0.0050   0.0056   0.0023   0.0096     32  wooden spatula
   0.0050   0.0050   0.0050   0.0050      2  peeling
   0.0050   0.0050   0.0050   0.0050      1  oat
   0.0050   0.0048   0.0031   0.0061     11  wooden fork
   0.0048   0.0056   0.0021   0.0100     52  olive
   0.0048   0.0051   0.0020   0.0085     55  potato peeler
   0.0047   0.0074   0.0011   0.0190     15  bacon
   0.0047   0.0068   0.0011   0.0140      4  coffee jar lid
   0.0047   0.0051   0.0026   0.0080     11  coffee cup
   0.0047   0.0048   0.0012   0.0093     54  chilli
   0.0046   0.0047   0.0031   0.0063      4  cayenne pepper bottle
   0.0046   0.0051   0.0030   0.0077      7  coffee machine lid
   0.0045   0.0052   0.0024   0.0097     20  eggshell
   0.0045   0.0043   0.0007   0.0076      6  lime piece
   0.0045   0.0062   0.0022   0.0112     27  hummus
   0.0045   0.0057   0.0018   0.0113    100  chopstick
   0.0045   0.0045   0.0010   0.0080      2  tissue
   0.0045   0.0061   0.0014   0.0137   1308  sponge
   0.0045   0.0038   0.0025   0.0048      3  chilli flake jar
   0.0044   0.0057   0.0021   0.0130     10  sachet
   0.0044   0.0044   0.0021   0.0068      4  cumin bottle
   0.0044   0.0044   0.0044   0.0044      1  greaseproof paper
   0.0043   0.0049   0.0036   0.0070     16  spice container
   0.0043   0.0045   0.0029   0.0058      9  tweezers
   0.0043   0.0047   0.0032   0.0067      6  tabasco
   0.0043   0.0096   0.0008   0.0219     20  soap
   0.0043   0.0043   0.0043   0.0043      1  soap bottle
   0.0042   0.0047   0.0007   0.0086     22  sun dried tomato
   0.0042   0.0053   0.0015   0.0099      4  peach rind
   0.0042   0.0057   0.0018   0.0107     20  sink plug
   0.0042   0.0042   0.0042   0.0042      1  pod packaging
   0.0042   0.0046   0.0011   0.0081      7  steamed bun piece
   0.0042   0.0042   0.0042   0.0042      1  capsule
   0.0042   0.0047   0.0023   0.0073      3  tomato piece
   0.0042   0.0055   0.0030   0.0095      7  paprika package
   0.0041   0.0041   0.0041   0.0041      1  salted bean curd
   0.0041   0.0073   0.0010   0.0176     11  chocolate
   0.0041   0.0156   0.0017   0.0512     24  herb
   0.0041   0.0051   0.0033   0.0073      3  sesame roll
   0.0041   0.0047   0.0008   0.0087     35  ginger
   0.0041   0.0035   0.0022   0.0044      4  onion slice rest
   0.0041   0.0041   0.0026   0.0057      3  carrot skinner
   0.0040   0.0040   0.0016   0.0065      2  avocado skin
   0.0040   0.0041   0.0023   0.0061      7  yoghurt package
   0.0040   0.0072   0.0013   0.0197     26  butter slice
   0.0040   0.0045   0.0037   0.0056      3  leftover food
   0.0039   0.0038   0.0018   0.0057      9  pepper container
   0.0039   0.0049   0.0016   0.0071     18  pine nut
   0.0039   0.0043   0.0017   0.0075     38  onion peel
   0.0039   0.0080   0.0016   0.0171     14  coffee capsule
   0.0039   0.0048   0.0017   0.0094     31  measuring spoon
   0.0039   0.0041   0.0014   0.0066     12  sheath
   0.0039   0.0082   0.0020   0.0195      7  hummus box
   0.0039   0.0057   0.0010   0.0146     37  blackberry
   0.0039   0.0068   0.0008   0.0163     13  coffee filter
   0.0039   0.0039   0.0039   0.0039      1  tea pot lid
   0.0039   0.0048   0.0029   0.0071      8  support
   0.0039   0.0043   0.0011   0.0067     16  sweetcorn can
   0.0038   0.0038   0.0038   0.0038      1  turmeric  jar
   0.0038   0.0041   0.0010   0.0075     48  garlic skin
   0.0038   0.0036   0.0032   0.0039      3  packet clip
   0.0038   0.0038   0.0038   0.0038      1  coriander ramekin
   0.0038   0.0038   0.0035   0.0040      2  blind cord
   0.0038   0.0069   0.0017   0.0196     41  lime
   0.0037   0.0037   0.0037   0.0037      1  sink cap
   0.0037   0.0037   0.0037   0.0037      1  rice mug
   0.0037   0.0045   0.0029   0.0072      7  tube
   0.0036   0.0097   0.0010   0.0178      9  cherry
   0.0036   0.0050   0.0010   0.0106   2065  spoon
   0.0036   0.0036   0.0036   0.0036      1  cream cheese
   0.0035   0.0034   0.0018   0.0053     18  lime juicer
   0.0035   0.0044   0.0006   0.0090      6  garlic slices
   0.0035   0.0044   0.0015   0.0083     12  cooker temperature
   0.0035   0.0048   0.0012   0.0066    161  peeler
   0.0034   0.0034   0.0034   0.0034      1  olive oil cap
   0.0034   0.0038   0.0015   0.0058      7  mocha pot strainer
   0.0034   0.0057   0.0009   0.0129   4062  knife
   0.0034   0.0034   0.0032   0.0035      2  soy sauce bottle lid
   0.0033   0.0033   0.0026   0.0040      4  pepper/salt cellar
   0.0032   0.0152   0.0012   0.0388      4  curry
   0.0032   0.0032   0.0029   0.0035      2  oven switch
   0.0032   0.0051   0.0010   0.0102     30  stock cube
   0.0032   0.0032   0.0018   0.0047      5  milk lid
   0.0031   0.0055   0.0009   0.0131     36  garlic clove
   0.0030   0.0041   0.0011   0.0093     41  cap
   0.0030   0.0030   0.0025   0.0036      2  roots
   0.0030   0.0031   0.0026   0.0036      5  temperature
   0.0030   0.0022   0.0009   0.0032      3  garlic bulb
   0.0030   0.0030   0.0027   0.0032      2  switch extractor fan
   0.0029   0.0028   0.0020   0.0033      8  sesame oil
   0.0029   0.0031   0.0019   0.0044      8  apple
   0.0029   0.0029   0.0029   0.0029      1  pepper top
   0.0028   0.0037   0.0015   0.0083     11  aeropress filter
   0.0028   0.0057   0.0005   0.0141    254  garlic
   0.0028   0.0034   0.0010   0.0071     42  clip
   0.0028   0.0028   0.0023   0.0033      2  cake piece
   0.0025   0.0026   0.0025   0.0027      3  tool
   0.0025   0.0041   0.0016   0.0090      7  can lid
   0.0025   0.0033   0.0007   0.0074     55  lighter
   0.0025   0.0025   0.0008   0.0042      8  switch hob
   0.0024   0.0024   0.0011   0.0039      5  olive oil spray
   0.0024   0.0022   0.0013   0.0029      9  pen
   0.0024   0.0151   0.0005   0.0455    478  water
   0.0024   0.0024   0.0015   0.0034      2  oil bottle lid
   0.0024   0.0024   0.0019   0.0030      2  breadcrumb
   0.0024   0.0035   0.0019   0.0056      3  scotch egg
   0.0024   0.0024   0.0020   0.0028      2  v60 cup
   0.0023   0.0024   0.0018   0.0030      4  lemon squeezer
   0.0023   0.0023   0.0019   0.0028      2  pesto sauce
   0.0023   0.0025   0.0006   0.0043     18  tuna mixture
   0.0023   0.0021   0.0007   0.0033      5  red chilli
   0.0023   0.0029   0.0009   0.0052   1048  fork
   0.0023   0.0023   0.0023   0.0023      1  dirty dish
   0.0022   0.0034   0.0003   0.0081     22  paring knife
